words,sentence #,tag
PURCHASE,21,O
ORDER,21,O
N0,21,O
M2744,21,O
DATED,21,O
112019,21,O
100,22,O
PCT,22,O
SPUN,22,O
POLYESTER,22,O
YARN,22,O
FOR,22,O
SEWING,22,O
THREAD,22,O
NE21/2,22,O
QUANTITY,22,O
2684880,22,O
KGS,22,O
AT,22,O
THE,22,O
RATE,22,O
OF,22,O
USD,22,O
808,22,O
PER,22,O
KG,22,O
NE21/3,22,O
QUANTITY,22,O
8856,22,O
KGS,22,O
AT,22,O
THE,22,O
RATE,22,O
OF,22,O
USD,22,O
808,22,O
PER,22,O
KG,22,O
NE21/4,22,O
QUANTITY,22,O
101820,22,O
KGS,22,O
AT,22,O
THE,22,O
RATE,22,O
OF,22,O
USD,22,O
813,22,O
PER,22,O
KGOTHER,22,O
DETAILS,22,O
ARE,22,O
AS,22,O
PER,22,O
BENEFICIARY'S,22,O
PROFORMA,22,O
INVOICE,22,O
N8,22,O
PIV191118,22,O
DATED,22,O
NOV,22,O
182018TOTAL,22,O
VALUE,22,O
OF,22,O
GOODS,22,O
WITH,22,O
INCOTERMS,22,O
USD,22,O
762836,22,O
FOB,22,O
CHINA,22,O
SEAPORT,22,O
(INCOTERMS,22,O
201,22,O
CFR,23,O
KARACHI,23,O
SEAPORTPAKISTAN,23,O
QTY,23,O
190740,23,O
MTS,23,O
COLD,23,O
ROLLED,23,O
STEEL,23,O
COILSAS,23,O
PER,23,O
COMPLETE,23,O
DETAIL,23,O
OF,23,O
BENEFICIARY'S,23,O
SALES,23,O
CONTRACT,23,O
N0,23,O
SPP-19082MTL-ADD,23,O
DATED,23,O
202019,23,O
CPT,24,O
LAHORE,24,O
AIRPORTPAKISTAN,24,O
QTY,24,O
1200,24,O
PCS,24,O
LABORATORY,24,O
EQUIPMENTS,24,O
WITH,24,O
ACCESSORIES,24,O
OMPLETE,24,O
DESCRIPTION,24,O
OF,24,O
GOODS,24,O
QUALITYQUANTITY,24,O
AND,24,O
UNIT,24,O
PRICE,24,O
AS,24,O
PER,24,O
BENEFICIARY'S,24,O
PROFORMA,24,O
INVOICE,24,O
N2,24,O
011/IG/2019,24,O
DATED,24,O
012012,24,O
CPT,25,O
LAHORE,25,O
AIRPORTPAKISTAN,25,O
QTY,25,O
01,25,O
PC,25,O
OF,25,O
CLIMATIC,25,O
CHAMBER,25,O
(PLANT,25,O
GROWTH,25,O
CHAMBER),25,O
AT,25,O
THE,25,O
RATE,25,O
EUR,25,O
240000,25,O
PER,25,O
PC,25,O
COMPLETE,25,O
DETAIL,25,O
AS,25,O
PER,25,O
BENEFICIARY'S,25,O
PROFORMA,25,O
INVOICE,25,O
N0,25,O
150228,25,O
DATED,25,O
112010,25,O
FOB,26,O
ANY,26,O
INDIAN,26,O
SEAPORT,26,O
PHARMACEUTICAL,26,O
ALLOPATHIC,26,O
RAW,26,O
MATERIAL,26,O
OF,26,O
PHARMACEUTICAL,26,O
GRADE,26,O
QTY,26,O
50000,26,O
KGS,26,O
ATENOLOL,26,O
BP,26,O
AT,26,O
USD,26,O
2050,26,O
PER,26,O
KGAS,26,O
PER,26,O
INDENT,26,O
N0,26,O
858/2019,26,O
DATED,26,O
112019,26,O
OF,26,O
M/S,26,O
GUDIA,26,O
PVT,26,O
LTD,26,O
KARACHI,26,O
PAKISTAN,26,O
CFR,27,O
PORT,27,O
QASIMPAKISTAN,27,O
TOTAL,27,O
QTY,27,O
10050,27,O
KGS,27,O
COTTOCLARIN,27,O
KD,27,O
AT,27,O
EURO,27,O
210,27,O
PER,27,O
KGAS,27,O
PER,27,O
BENEFICIARY,27,O
PROFORMA,27,O
INVOICE,27,O
N2,27,O
9200035709,27,O
DATED,27,O
0NOV-2019,27,O
CPT,28,O
KARACHI,28,O
AIRPORT,28,O
MICROSCOPESAS,28,O
PER,28,O
BENEFICIARY'S,28,O
PROFORMA,28,O
INVOICE,28,O
NO,28,O
2MKA0115,28,O
DATED,28,O
2O1O2019,28,O
CPT,29,O
LAHORE,29,O
AIRPORT,29,O
PAKISTAN,29,O
BUILDING,29,O
CONTROL,29,O
EQUIPMENT,29,O
ACCORDING,29,O
TO,29,O
PERFORMA,29,O
INVOICE,29,O
NO,29,O
21003860,29,O
DATED,29,O
102019,29,O
CFR,30,O
KARACHI,30,O
SEAPORT,30,O
/,30,O
PORT,30,O
QASIM,30,O
PAKISTAN,30,O
QTY,30,O
105,30,O
MT,30,O
WASTE,30,O
PAPER-OCC,30,O
IN,30,O
COMPRESSED,30,O
BALES,30,O
AT,30,O
USD,30,O
12300,30,O
PER,30,O
MT,30,O
QTY,30,O
102,30,O
MT,30,O
WASTE,30,O
PAPER-BBC,30,O
IN,30,O
COMPRESSED,30,O
BALES,30,O
AT,30,O
USD,30,O
11300,30,O
PER,30,O
MT,30,O
AS,30,O
PER,30,O
APPLICANT,30,O
PURCHASE,30,O
ORDER,30,O
N3,30,O
APB/15/19,30,O
DATED,30,O
2NOV-2019,30,O
AND,30,O
PERFORMA,30,O
INVOICE,30,O
NO,30,O
191124,30,O
DATED,30,O
212019,30,O
CPT,31,O
LAHORE,31,O
AIRPORT,31,O
PAKISTAN,31,O
PHARMACEUTICAL,31,O
ALLOPATHIC,31,O
RAW,31,O
MATERIAL,31,O
OF,31,O
PHARMACEUTICAL,31,O
GRADE,31,O
QTY,31,O
10,31,O
KGS,31,O
TIMOLOL,31,O
MALEATE,31,O
USP,31,O
AT,31,O
ACUD,31,O
73E00,31,O
PER,31,O
KE,31,O
AS,31,O
PER,31,O
INDENT,31,O
NE,31,O
786/ABI/5736,31,O
DATED,31,O
012019,31,O
OF,31,O
M/E,31,O
ALI,31,O
BABA,31,O
IMPEX,31,O
LAHOREPAKISTAN,31,O
FOB,32,O
ANY,32,O
AIRPORT,32,O
/,32,O
SEAPORT,32,O
OF,32,O
HONGKONG,32,O
OR,32,O
CHINA,32,O
TELECOM,32,O
EQUIPMENTTRANSCEIVERSWITCHES,32,O
WITH,32,O
ACCESSORIESVIDEO,32,O
CONFERENCING,32,O
SYSTEMALL,32,O
OTHER,32,O
DETAILS,32,O
AS,32,O
PER,32,O
BENEFICIARY'S,32,O
PROFORMA,32,O
INVOICE,32,O
NO,32,O
0Y05861900130J-1,32,O
DATED,32,O
2O1O19,32,O
CFR,33,O
KARACHI,33,O
/,33,O
BIN,33,O
QASIM,33,O
SEAPORT,33,O
RAW,33,O
MATERIAL,33,O
STEEL,33,O
SHEET,33,O
(GALVANIZED,33,O
AND,33,O
COLD,33,O
ROLL),33,O
AS,33,O
PER,33,O
BENEFICIARY'S,33,O
PROFORMA,33,O
INVOICE,33,O
NO,33,O
MB-9Y-IMC-020,33,O
DATED,33,O
2O1O2019,33,O
CFR,34,O
KARACHI,34,O
PORTPAKISTAN,34,O
1,34,O
QTY,34,O
11269,34,O
MT,34,O
UNCOATED,34,O
PAPER,34,O
BOARD,34,O
IN,34,O
REELS195,34,O
GSM,34,O
AT,34,O
USD,34,O
60100,34,O
PER,34,O
MT,34,O
1,34,O
QTY,34,O
81385,34,O
MT,34,O
UNCOATED,34,O
PAPER,34,O
BOARD,34,O
IN,34,O
REELS215,34,O
GSM,34,O
AT,34,O
USD,34,O
60100,34,O
PER,34,O
MT,34,O
DETAILS,34,O
AS,34,O
PER,34,O
BENEFICIARY'S,34,O
PROFORMA,34,O
INVOICE,34,O
N1,34,O
SO034893,34,O
DATED,34,O
211119,34,O
CPT,35,O
LAHORE,35,O
AIRPORT,35,O
PAKISTAN,35,O
PHARMACEUTICAL,35,O
ALLOPATHIC,35,O
RAW,35,O
MATERIAL,35,O
QTY,35,O
25,35,O
KGS,35,O
CEFACLOR,35,O
MONOHYDRATE,35,O
COMPACTED,35,O
USP,35,O
AT,35,O
USD,35,O
23500,35,O
PER,35,O
K5,35,O
QTY,35,O
25,35,O
KGS,35,O
CEFACLOR,35,O
MONOHYDRATE,35,O
MICRONISED,35,O
USP,35,O
AT,35,O
USD,35,O
23500,35,O
PER,35,O
K5,35,O
AS,35,O
PER,35,O
INDENT,35,O
N5,35,O
66131/2019,35,O
DATED,35,O
112019,35,O
M/S,35,O
NEON,35,O
CHEMICALS,35,O
LAHORE,35,O
PAKISTAN,35,O
FOB,36,O
SHANGHAI,36,O
PORT,36,O
CHINA,36,O
TEXTILE,36,O
DYES,36,O
QTY,36,O
50000,36,O
KGS,36,O
LONSPERSE,36,O
BLACK,36,O
WHTS,36,O
AT,36,O
THE,36,O
RATE,36,O
USD,36,O
080,36,O
PER,36,O
K0,36,O
QTY,36,O
10000,36,O
KGS,36,O
LONSPERSE,36,O
BLACK,36,O
EX-SF,36,O
AT,36,O
THE,36,O
RATE,36,O
USD,36,O
080,36,O
PER,36,O
K0,36,O
COMPLETE,36,O
DETAIL,36,O
AS,36,O
PER,36,O
BENEFICIARY'S,36,O
PROFORMA,36,O
INVOICE,36,O
N0,36,O
PK60191122,36,O
DATED,36,O
2NOV-2010,36,O
CPT,37,O
LAHORE,37,O
AIRPORTPAKISTAN,37,O
QTY,37,O
110,37,O
KGS,37,O
CEFOTAXIME,37,O
SODIUM,37,O
STERILE,37,O
AT,37,O
USD,37,O
98,37,O
PER,37,O
KG,37,O
AS,37,O
PER,37,O
INENT,37,O
NG,37,O
23209,37,O
RM,37,O
DATED,37,O
212019,37,O
OF,37,O
M/G,37,O
MORGAN,37,O
CHEMICALS,37,O
LAHOREPAKISTAN,37,O
CFR,38,O
PORT,38,O
QASIMPAKISTAN,38,O
QTY,38,O
500,38,O
M/TONS,38,O
RBD,38,O
PALM,38,O
OLEIN,38,O
IN,38,O
BULK,38,O
AT,38,O
USD,38,O
64N00,38,O
PER,38,O
M/TON,38,O
AS,38,O
PER,38,O
BENEFICIARY'S,38,O
SALES,38,O
CONTRACT,38,O
NN,38,O
S/SDL/1911/RPOL1669,38,O
DATED,38,O
0N1N19,38,O
FOB,39,O
ANY,39,O
MALAYSIAN,39,O
PORT,39,O
QTY,39,O
4000,39,O
TONS,39,O
PALM,39,O
BASED,39,O
GOLDEN,39,O
HARVEST,39,O
MARGARINE,39,O
WITH,39,O
VITAMIN,39,O
'A',39,O
PHO25,39,O
AT,39,O
THE,39,O
RATE,39,O
OF,39,O
USD,39,O
99000,39,O
PER,39,O
TONAS,39,O
PER,39,O
BENEFICIARY'S,39,O
PROFORMA,39,O
INVOICE,39,O
N0,39,O
890000074A,39,O
DATED,39,O
200019,39,O
CFR,40,O
KARACHI,40,O
SEAPORTPAKISTAN,40,O
QTY,40,O
1,40,O
SET,40,O
OF,40,O
PLASTIC,40,O
TAPE,40,O
EXTRUSION,40,O
LINE,40,O
MODEL,40,O
SJPL-G130X31800X10,40,O
AT,40,O
CNY,40,O
3080000,40,O
PER,40,O
SET,40,O
HS,40,O
CODE,40,O
84702000,40,O
QTY,40,O
32,40,O
SETS,40,O
OF,40,O
PLASTIC,40,O
CIRCULAR,40,O
WEAVING,40,O
LOOM,40,O
MODEL,40,O
SBY-850X6G,40,O
AT,40,O
CNY,40,O
700000,40,O
PER,40,O
SET,40,O
HS,40,O
CODE,40,O
84402900,40,O
QTY,40,O
04,40,O
SETS,40,O
OF,40,O
PLASTIC,40,O
CIRCULAR,40,O
WEAVING,40,O
LOOM,40,O
MODEL,40,O
SBY-1300X6S,40,O
AT,40,O
CNY,40,O
1190000,40,O
PER,40,O
SET,40,O
HS,40,O
CODE,40,O
84402900,40,O
QTY,40,O
06,40,O
SETS,40,O
OF,40,O
PLASTIC,40,O
CIRCULAR,40,O
WEAVING,40,O
LOOM,40,O
(LENO),40,O
MODEL,40,O
SBY-850X4H,40,O
AT,40,O
CNY,40,O
630000,40,O
PER,40,O
SET,40,O
HS,40,O
CODE,40,O
84402900,40,O
QTY,40,O
01,40,O
SET,40,O
OF,40,O
PLASTIC,40,O
WOVEN,40,O
BAG,40,O
PRINTING,40,O
MACHINE,40,O
MODEL,40,O
SBY800,40,O
AT,40,O
CNY,40,O
2660000,40,O
PER,40,O
SET,40,O
HS,40,O
CODE,40,O
84401400INCLUDING,40,O
ALL,40,O
STANDARD,40,O
ACCESSORIES,40,O
AS,40,O
PER,40,O
BENEFICIARY,40,O
PROFORMA,40,O
INVOICE,40,O
N0,40,O
YMPS-2019112PIB,40,O
DATED,40,O
212010,40,O
CFR,41,O
KEAMARI,41,O
KARACHI,41,O
SEAPORT/PORT,41,O
QASIMPAKISTAN,41,O
QTY,41,O
400000,41,O
KGS,41,O
EVERZOL,41,O
NAVY,41,O
BLUE,41,O
FBN,41,O
AT,41,O
USD,41,O
030,41,O
PER,41,O
K0,41,O
QTY,41,O
350000,41,O
KGS,41,O
EVERZOL,41,O
YELLOW,41,O
3RS,41,O
H/C,41,O
AT,41,O
USD,41,O
070,41,O
PER,41,O
K0,41,O
QTY,41,O
250000,41,O
KGS,41,O
EVERZOL,41,O
RED,41,O
3BS,41,O
H/C,41,O
AT,41,O
USD,41,O
065,41,O
PER,41,O
K0,41,O
AS,41,O
PER,41,O
BENEFICIARY'S,41,O
PROFORMA,41,O
INVOICE,41,O
N0,41,O
ECIC/139/FAV/2019,41,O
DATED,41,O
012010,41,O
CFR,42,O
KARACHI,42,O
PORT,42,O
QTY,42,O
2700,42,O
MT,42,O
ZIRCONIUM,42,O
SILICATE,42,O
(ZIRCOBIT,42,O
S,42,O
50,42,O
AT,42,O
USD,42,O
160700,42,O
PER,42,O
MTPACKED,42,O
IN,42,O
25,42,O
KG,42,O
NERT,42,O
PAPER,42,O
BAGS,42,O
ON,42,O
WOODEN,42,O
PALLETS,42,O
WRAPPED,42,O
WITH,42,O
PLASTIC,42,O
FILMAS,42,O
PER,42,O
BENEFICIARY'S,42,O
PROFORMA,42,O
INVOICE,42,O
N7,42,O
20008185,42,O
DATED,42,O
271719,42,O
CPT,43,O
LAHORE,43,O
AIRPORT,43,O
PAKISTAN,43,O
PHARMACEUTICAL,43,O
RAW,43,O
MATERIAL,43,O
FOR,43,O
PHARMACETICAL,43,O
USE,43,O
QTY,43,O
60,43,O
KGS,43,O
MINOCYLINE,43,O
HYDROCHLORIDE,43,O
AT,43,O
USD,43,O
985,43,O
PER,43,O
KG,43,O
AS,43,O
PER,43,O
INDENT,43,O
NG,43,O
SY-API-980,43,O
DATED,43,O
212019,43,O
OF,43,O
M/S,43,O
SYNERGY,43,O
API,43,O
LAHORE,43,O
PAKISTAN,43,O
CFR,44,O
PORT,44,O
QASIM,44,O
PAKISTAN,44,O
QTY,44,O
260MT,44,O
REMELTABLE,44,O
STEEL,44,O
SCRAP,44,O
(MANG,44,O
PLATES),44,O
AT,44,O
USD,44,O
362,44,O
PER,44,O
MT,44,O
AS,44,O
PER,44,O
BENEFICIARY'S,44,O
PROFORMA,44,O
INVOICE,44,O
NOIG/PC/PAK/9643/2019,44,O
