,words,sentence #,tag
141,AIRPORT,7,Incoterms
142,XRAY,7,GoodsDescription
143,SHARK,7,GoodsDescription
144,XBD45+,7,GoodsDescription
145,X-RAY,7,GoodsDescription
146,AS,7,O
147,PER,7,O
148,BENEFICIARY'S,7,O
149,PROFORMA,7,O
150,INVOICE,7,O
151,NO.,7,O
152,P200114,7,O
153,DATED,7,O
154,<DATE>,7,O
155,FOB,8,Incoterms
156,ROTTERDAM,8,Incoterms
157,SEAPORT,8,Incoterms
158,PARTS,8,GoodsDescription
159,FOR,8,GoodsDescription
160,GEAR,8,GoodsDescription
161,BOX,8,GoodsDescription
162,AS,8,O
163,PER,8,O
164,BENEFICIARY'S,8,O
165,PROFORMA,8,O
166,INVOICE,8,O
167,NO.,8,O
168,<INCOTERMS>,8,O
169,<QUANTITY>,8,O
170,DATED,8,O
171,<DATE>,8,O
172,CFR,9,Incoterms
173,KARACHI,9,Incoterms
174,PORT,9,Incoterms
175,QTY,9,O
176,<QUANTITY>,9,Quantity
177,ADMT,9,UnitPriceAmount
178,GI,9,GoodsDescription
179,FLUFF,9,GoodsDescription
180,PULP,9,GoodsDescription
181,UNTREATED,9,GoodsDescription
182,AT,9,GoodsDescription
183,USD,9,UnitPriceAmount
184,<UNITPRICEAMOUNT>,9,UnitPriceAmount
185,PER,9,UnitPriceAmount
186,ADMT,9,UnitPriceAmount
187,AS,9,O
188,PER,9,UnitPriceAmount
189,BENEFICIARY'S,9,O
190,PROFORMA,9,O
191,INVOICE,9,O
192,NO.,9,O
193,<QUANTITY>,9,O
194,DATED,9,O
195,<INCOTERMS>,9,O
196,EXW,10,Incoterms
197,QTY,10,O
198,<QUANTITY>,10,Quantity
199,UNITS,10,Quantity
200,CONCENTRATE,10,GoodsDescription
201,<INCOTERMS>,10,GoodsDescription
202,AS,10,O
203,PER,10,O
204,BENEFICIARY'S,10,O
205,SALES,10,O
206,QUOTATION,10,O
207,NO.,10,O
208,<QUANTITY>,10,O
209,DATED,10,O
210,<DATE>,10,O
211,FOB,11,Incoterms
212,ANY,11,Incoterms
213,CHINESE,11,Incoterms
214,PORT,11,Incoterms
215,<INCOTERMS>,11,GoodsDescription
216,COATED,11,GoodsDescription
217,PACKAGING,11,GoodsDescription
218,BOARD,11,GoodsDescription
219,(POPLAR),11,O
220,IN,11,Incoterms
221,REELS,11,O
222,AS,11,O
223,PER,11,O
224,BENEFICIARY'S,11,O
225,SALES,11,O
226,CONTRACT,11,O
227,NO.,11,O
228,S19110286,11,O
229,DATED,11,O
230,<INCOTERMS>,11,O
231,FOB,12,Incoterms
232,ANY,12,Incoterms
233,CHINESE,12,Incoterms
234,PORT,12,Incoterms
235,<INCOTERMS>,12,GoodsDescription
236,COATED,12,GoodsDescription
237,PACKAGING,12,GoodsDescription
238,BOARD,12,GoodsDescription
239,(POPLAR),12,O
240,IN,12,GoodsDescription
241,REELS,12,O
242,AS,12,O
243,PER,12,O
244,BENEFICIARY'S,12,O
245,SALES,12,O
246,CONTRACT,12,O
247,NO.,12,O
248,S19110287,12,O
249,DATED,12,O
250,<INCOTERMS>,12,O
251,FOB,13,Incoterms
252,ROTTERDAMTHE,13,O
253,NETHERLANDS,13,Incoterms
254,SUBLIMATION,13,GoodsDescription
255,PAPER,13,GoodsDescription
256,QTY,13,O
257,<QUANTITY>,13,Quantity
258,PCS,13,Quantity
259,JETCOL,13,GoodsDescription
260,TA,13,GoodsDescription
261,AS,13,O
262,PER,13,GoodsDescription
263,BENEFICIARY'S,13,O
264,PROFORMA,13,O
265,INVOICE,13,O
266,NO.,13,O
267,<QUANTITY>,13,O
268,DATED,13,O
269,<INCOTERMS>,13,O
270,CFR,14,Incoterms
271,PORT,14,Incoterms
272,QASIM,14,Incoterms
273,PAKISTAN,14,Incoterms
274,QTY,14,O
275,<UNITPRICEAMOUNT>,14,Quantity
276,M/TONS,14,Quantity
277,SHREDDED,14,GoodsDescription
278,STEEL,14,GoodsDescription
279,SCRAP,14,GoodsDescription
280,AS,14,Incoterms
281,PER,14,UnitPriceAmount
282,ISRI,14,O
283,<QUANTITY>,14,O
284,AT,14,O
285,USD,14,UnitPriceAmount
286,<UNITPRICEAMOUNT>,14,UnitPriceAmount
287,PER,14,UnitPriceAmount
288,M/TON.,14,O
289,AS,14,Incoterms
290,PER,14,UnitPriceAmount
291,BENEFICIARY'S,14,O
292,SALES,14,O
293,CONTRACT,14,O
294,NO.,14,O
295,JSC-4602A,14,O
296,DATED,14,O
297,<DATE>,14,O
298,CFR,15,Incoterms
299,ANY,15,Incoterms
300,PORT,15,Incoterms
301,OF,15,Incoterms
302,KARACHI,15,Incoterms
303,HARDWARE,15,GoodsDescription
304,FITTINGS,15,GoodsDescription
305,ACCESSORIES,15,GoodsDescription
306,AND,15,GoodsDescription
307,DUMPING,15,GoodsDescription
308,SYSTEM,15,GoodsDescription
309,FOR,15,GoodsDescription
310,CV,15,GoodsDescription
311,CONDUCTOR,15,GoodsDescription
312,AND,15,GoodsDescription
313,FOR,15,GoodsDescription
314,AL,15,GoodsDescription
315,CONDUCTOR,15,GoodsDescription
316,AS,15,O
317,PER,15,O
318,BENEFICIARY'S,15,O
319,PROFORMA,15,O
320,INVOICE,15,O
321,NO.,15,O
322,<QUANTITY>,15,O
323,DATED,15,O
324,<INCOTERMS>,15,O
325,CPT,16,Incoterms
326,LAHORE,16,Incoterms
327,AIRPORT,16,Incoterms
328,PAKISTAN,16,Incoterms
329,1.,16,O
330,QTY,16,O
331,<QUANTITY>,16,Quantity
332,PC,16,Quantity
333,SPINNER,16,GoodsDescription
334,ASSY,16,GoodsDescription
335,WS650MZ,16,O
336,SPIN,16,GoodsDescription
337,PROCESSOR,16,O
338,AT,16,O
339,THE,16,O
340,RATE,16,O
341,USD,16,UnitPriceAmount
342,<UNITPRICEAMOUNT>,16,UnitPriceAmount
343,PER,16,UnitPriceAmount
344,PC,16,Quantity
345,ALL,16,O
346,DETAIL,16,O
347,AS,16,GoodsDescription
348,PER,16,UnitPriceAmount
349,BENEFICIARY'S,16,O
350,PROFORMA,16,O
351,INVOICE,16,O
352,NO.,16,O
353,<QUANTITY>,16,O
354,DATED,16,O
355,04-09-2019.,16,O
356,CPT,17,Incoterms
357,LAHORE,17,Incoterms
358,AIRPORT,17,Incoterms
359,PAKISTAN,17,Incoterms
360,QTY,17,O
361,<QUANTITY>,17,Quantity
362,SET,17,Quantity
363,OF,17,GoodsDescription
364,USTER,17,GoodsDescription
365,JOSSI,17,GoodsDescription
366,VISION,17,GoodsDescription
367,SHIELD-2,17,GoodsDescription
368,WITH,17,GoodsDescription
369,<QUANTITY>,17,GoodsDescription
370,SPECTROSCOPES,17,GoodsDescription
371,EFFICIENCY,17,GoodsDescription
372,BOOSTER,17,GoodsDescription
373,V,17,GoodsDescription
374,TECT,17,GoodsDescription
375,FOR,17,GoodsDescription
376,INSTALLATION,17,GoodsDescription
377,OF,17,GoodsDescription
378,EXISTING,17,GoodsDescription
379,BLOWROOM,17,GoodsDescription
380,LINE,17,GoodsDescription
381,FOR,17,GoodsDescription
382,DETECTION,17,GoodsDescription
383,AND,17,GoodsDescription
384,ELIMINATION,17,GoodsDescription
385,OF,17,GoodsDescription
386,CONTAMINATION,17,GoodsDescription
387,IN,17,GoodsDescription
388,BLOWROOM,17,GoodsDescription
389,LINE,17,GoodsDescription
390,WITH,17,GoodsDescription
391,ALL,17,GoodsDescription
392,STANDARD,17,GoodsDescription
393,ACCESSORIES,17,GoodsDescription
394,AND,17,GoodsDescription
395,ESSENTIAL,17,GoodsDescription
396,PARTS,17,GoodsDescription
397,ALL,17,GoodsDescription
398,DETAIL,17,O
399,AS,17,O
400,PER,17,O
401,INDENT,17,O
402,NO,17,O
403,.C-ZAG-VS-047,17,O
404,DATED,17,O
405,<INCOTERMS>,17,O
406,OF,17,GoodsDescription
407,SIMAG,17,O
408,ENTERPRISES,17,O
409,PVT,17,O
410,LTD,17,O
411,PAKISTAN,17,Incoterms
412,CPT,18,Incoterms
413,LAHORE,18,Incoterms
414,AIRPORT,18,Incoterms
415,PAKISTAN,18,Incoterms
416,QTY,18,O
417,<QUANTITY>,18,Quantity
418,UNIT,18,Quantity
419,OF,18,O
420,ELECTROSPINNING,18,GoodsDescription
421,MACHINE,18,GoodsDescription
422,AT,18,O
423,THE,18,O
424,RATE,18,O
425,USD,18,O
426,26500.28.,18,O
427,ALL,18,O
428,DETAIL,18,O
429,AS,18,O
430,PER,18,O
431,BENEFICIARY'S,18,O
432,PROFORMA,18,O
433,INVOICE,18,O
434,NO.,18,O
435,PF190006,18,O
436,DATED,18,O
437,-04-09-2019,18,O
438,CFR,19,Incoterms
439,KEAMARI,19,Incoterms
440,KARACHI,19,Incoterms
441,SEAPORT,19,Incoterms
442,/,19,Incoterms
443,PORT,19,Incoterms
444,QASIM,19,Incoterms
445,PAKISTAN,19,Incoterms
446,COMPOUNDED,19,O
447,POLYPROPYLENE,19,GoodsDescription
448,RESIN,19,O
449,<INCOTERMS>,19,O
450,<QUANTITY>,19,Quantity
451,KGS,19,Quantity
452,PP-SN3,19,O
453,J-3057HPT,19,O
454,<INCOTERMS>,19,O
455,AT,19,O
456,USD,19,UnitPriceAmount
457,<UNITPRICEAMOUNT>,19,UnitPriceAmount
458,PER,19,UnitPriceAmount
459,KG.,19,O
460,<INCOTERMS>,19,O
461,<UNITPRICEAMOUNT>,19,Quantity
462,KGS,19,Quantity
463,POLYAMIDE,19,GoodsDescription
464,<QUANTITY>,19,GoodsDescription
465,(NYLON,19,O
466,<INCOTERMS>,19,O
467,T330210,19,O
468,STD,19,O
469,BLK,19,O
470,AT,19,O
471,USD,19,UnitPriceAmount
472,<UNITPRICEAMOUNT>,19,UnitPriceAmount
473,PER,19,UnitPriceAmount
474,KG,19,Quantity
475,<INCOTERMS>,19,O
476,<UNITPRICEAMOUNT>,19,Quantity
477,KGS,19,Quantity
478,POM,19,O
479,<QUANTITY>,19,O
480,PCT,19,O
481,REINFORCED,19,O
482,GC25A,19,O
483,CF3500,19,O
484,NATURAL,19,O
485,AT,19,O
486,USD,19,UnitPriceAmount
487,<UNITPRICEAMOUNT>,19,UnitPriceAmount
488,PER,19,UnitPriceAmount
489,KG.,19,O
490,AS,19,Incoterms
491,PER,19,UnitPriceAmount
492,BENEFICIARY'S,19,O
493,PROFORMA,19,O
494,INVOICE,19,O
495,NO.,19,O
496,NTL11001,19,O
497,DATED,19,O
498,<INCOTERMS>,19,O
499,FOB,20,Incoterms
500,SHANGHAI,20,Incoterms
501,SEAPORT,20,Incoterms
502,CHINA,20,Incoterms
503,TOTAL,20,O
504,QTY,20,O
505,<UNITPRICEAMOUNT>,20,Quantity
506,HIGH,20,GoodsDescription
507,RACKS,20,GoodsDescription
508,MINI,20,GoodsDescription
509,RACKS,20,GoodsDescription
510,SELF-SERVICE,20,GoodsDescription
511,RACKS,20,GoodsDescription
512,AND,20,GoodsDescription
513,ACCESSORIES,20,GoodsDescription
514,AS,20,O
515,PER,20,O
516,BENEFICIARY'S,20,O
517,PROFORMA,20,O
518,INVOICE,20,O
519,NO.,20,O
520,SH1911011,20,O
521,DATED,20,O
522,31-10-2019.,20,O
523,CFR,21,Incoterms
524,KARACHI,21,Incoterms
525,SEAPORT,21,Incoterms
526,PAKISTAN,21,Incoterms
527,QTY,21,O
528,<UNITPRICEAMOUNT>,21,Quantity
529,MTS,21,Quantity
530,PRIMARY,21,GoodsDescription
531,ALUMINIUM,21,GoodsDescription
532,STANDARD,21,GoodsDescription
533,INGOT,21,GoodsDescription
534,AT,21,O
535,USD,21,O
536,1750.,21,O
537,AS,21,O
538,PER,21,O
539,SALES,21,O
540,CONTRACT,21,O
541,NO.,21,O
542,YE19A589UM02,21,O
543,DATED,21,O
544,29-10-2019.,21,O
545,CPT,22,Incoterms
546,ISLAMABAD,22,Incoterms
547,AIRPORT,22,Incoterms
548,-,22,Incoterms
549,PAKISTAN,22,Incoterms
550,TOTAL,22,O
551,QTY,22,O
552,<QUANTITY>,22,Quantity
553,UNITS,22,Quantity
554,<INCOTERMS>,22,GoodsDescription
555,TRIGNO,22,GoodsDescription
556,AVNTI,22,GoodsDescription
557,RESEARCH+SYSTEM.AS,22,O
558,PER,22,O
559,BENEFICIARY'S,22,O
560,PROFORMA,22,O
561,INVOICE,22,O
562,NO.,22,O
563,Q-8615,22,O
564,DATED.,22,O
565,<DATE>,22,O
566,CPT,23,Incoterms
567,LAHORE,23,Incoterms
568,AIRPORT,23,Incoterms
569,PAKISTAN,23,Incoterms
570,LABORATORY,23,GoodsDescription
571,EQUIPMENTS,23,GoodsDescription
572,<INCOTERMS>,23,O
573,QTY,23,O
574,<UNITPRICEAMOUNT>,23,Quantity
575,UNIT,23,Quantity
576,FREEZE,23,GoodsDescription
577,DRYER,23,GoodsDescription
578,ALPHA,23,O
579,<INCOTERMS>,23,O
580,LSCBASIC,23,O
581,<QUANTITY>,23,O
582,V,23,O
583,<QUANTITY>,23,O
584,HZ,23,O
585,AT,23,GoodsDescription
586,EUR,23,UnitPriceAmount
587,<UNITPRICEAMOUNT>,23,O
588,AS,23,O
589,PER,23,O
590,BENEFICIARY'S,23,O
591,PROFORMA,23,O
592,INVOICE,23,O
593,NO.,23,O
594,<INCOTERMS>,23,O
595,DATED,23,O
596,09-12-2019.,23,O
597,CPT,24,Incoterms
598,KARACHI,24,Incoterms
599,AIRPORT/SEAPORT,24,Incoterms
600,SPARE,24,GoodsDescription
601,PARTS,24,GoodsDescription
602,FOR,24,GoodsDescription
603,INNIO,24,GoodsDescription
604,JENBACHER,24,GoodsDescription
605,POWER,24,GoodsDescription
606,GENERATION,24,GoodsDescription
607,SPECIFICATION,24,O
608,QUANTITYM,24,O
609,QUALITY,24,O
610,AND,24,O
611,OTHER,24,O
612,DETAILS,24,O
613,AS,24,O
614,PER,24,O
615,BENEFICIARY'S,24,O
616,PROFORMA,24,O
617,INVOICE,24,O
618,NO(S).,24,O
619,PFI-003328,24,O
620,DATED,24,O
621,<INCOTERMS>,24,O
622,AND,24,O
623,PFI-003301,24,O
624,DATED,24,O
625,<INCOTERMS>,24,O
626,FOB,25,Incoterms
627,SHENZEN,25,Incoterms
628,SEAPORT,25,Incoterms
629,CHINA,25,Incoterms
630,TOTAL,25,O
631,QTY,25,O
632,<QUANTITY>,25,Quantity
633,NOS,25,Quantity
634,SHOES,25,GoodsDescription
635,AND,25,GoodsDescription
636,LUGGAGE,25,GoodsDescription
637,AS,25,O
638,PER,25,O
639,BENEFICIARY'S,25,O
640,PROFORMA,25,O
641,INVOICE/CONTRACT,25,O
642,NO.,25,O
643,H19SW07009,25,O
644,DATED,25,O
645,<INCOTERMS>,25,O
646,CFR,26,Incoterms
647,KARACHI,26,Incoterms
648,SEAPORT,26,Incoterms
649,PAKISTAN,26,Incoterms
650,<INCOTERMS>,26,O
651,QTY,26,O
652,<QUANTITY>,26,Quantity
653,SET,26,UnitPriceAmount
654,OF,26,O
655,DALGAKIRAN,26,O
656,EAGLE,26,O
657,<QUANTITY>,26,O
658,VSD,26,O
659,(10,26,O
660,BAR),26,O
661,AIR,26,GoodsDescription
662,COOLED,26,GoodsDescription
663,SCREW,26,GoodsDescription
664,COMPRESSOR,26,GoodsDescription
665,AT,26,O
666,EUR,26,UnitPriceAmount
667,<QUANTITY>,26,UnitPriceAmount
668,PER,26,UnitPriceAmount
669,SET.,26,O
670,<INCOTERMS>,26,O
671,QTY,26,O
672,<QUANTITY>,26,Quantity
673,SET,26,UnitPriceAmount
674,OF,26,O
675,DALGAKIRAN,26,O
676,DRYAIR,26,O
677,DK,26,O
678,<QUANTITY>,26,O
679,AIR,26,GoodsDescription
680,DRYER,26,GoodsDescription
681,AT,26,O
682,EUR,26,UnitPriceAmount
683,<QUANTITY>,26,UnitPriceAmount
684,PER,26,UnitPriceAmount
685,SET.,26,O
686,AS,26,O
687,PER,26,UnitPriceAmount
688,BENEFICIARY'S,26,O
689,PROFORMA,26,O
690,INVOICE,26,O
691,NO.,26,O
692,EXP/19-P517,26,O
693,DATED,26,O
694,15-11-2019.,26,O
695,<INCOTERMS>,27,O
696,QTY,27,O
697,<QUANTITY>,27,Quantity
698,UNITS,27,Quantity
699,GRID,27,GoodsDescription
700,TIED,27,GoodsDescription
701,SOLAR,27,GoodsDescription
702,INVERTER,27,GoodsDescription
703,<QUANTITY>,27,GoodsDescription
704,PHASE,27,GoodsDescription
705,<INCOTERMS>,27,O
706,WITH,27,O
707,DC,27,O
708,SWITCH,27,O
709,COMMUNICATION-RS485,27,O
710,GW50KN-MT,27,O
711,AT,27,O
712,USD,27,UnitPriceAmount
713,<QUANTITY>,27,UnitPriceAmount
714,PER,27,UnitPriceAmount
715,UNIT.,27,O
716,<INCOTERMS>,27,O
717,QTY,27,O
718,<QUANTITY>,27,Quantity
719,UNITS,27,Quantity
720,GRID,27,GoodsDescription
721,TIED,27,GoodsDescription
722,SOLAR,27,GoodsDescription
723,INVERTER,27,GoodsDescription
724,<QUANTITY>,27,GoodsDescription
725,PHASE,27,GoodsDescription
726,<INCOTERMS>,27,O
727,WITH,27,O
728,DC,27,O
729,SWITCH,27,O
730,COMMUNICATION-RS485,27,O
731,FOR,27,O
732,EZLOGGER,27,O
733,PRO-CONNECTION,27,O
734,GW20K-DT,27,O
735,AT,27,O
736,USD,27,UnitPriceAmount
737,<QUANTITY>,27,UnitPriceAmount
738,PER,27,UnitPriceAmount
739,UNIT.,27,O
740,<INCOTERMS>,27,O
741,QTY,27,O
742,<QUANTITY>,27,Quantity
743,UNITS,27,Quantity
744,MONITORING,27,GoodsDescription
745,DEVICE,27,GoodsDescription
746,OF,27,GoodsDescription
747,GRID,27,GoodsDescription
748,TIRED,27,GoodsDescription
749,SOLAR,27,GoodsDescription
750,INVERTER,27,GoodsDescription
751,ONE,27,O
752,UNIT,27,UnitPriceAmount
753,TO,27,GoodsDescription
754,CONNECT,27,O
755,UP,27,O
756,TO,27,GoodsDescription
757,<QUANTITY>,27,O
758,PCS,27,O
759,INVERTERS,27,O
760,EZLOGGER,27,O
761,PRO,27,O
762,AT,27,O
763,USD,27,UnitPriceAmount
764,<QUANTITY>,27,UnitPriceAmount
765,PER,27,UnitPriceAmount
766,UNIT,27,UnitPriceAmount
767,AS,27,GoodsDescription
768,PER,27,UnitPriceAmount
769,BENEFICIARY'S,27,O
770,PROFORMA,27,O
771,INVOICE,27,O
772,NO.,27,O
773,GW636191013,27,O
774,DATED,27,O
775,<DATE>,27,O
776,CFR,28,Incoterms
777,PAKISTAN,28,Incoterms
778,INTERNATIONAL,28,Incoterms
779,BULK,28,Incoterms
780,TERMINAL,28,Incoterms
781,PAKISTAN,28,Incoterms
782,(INCOTERMS,28,O
783,<INCOTERMS>,28,O
784,QTY,28,O
785,<QUANTITY>,28,O
786,MT(+/-,28,O
787,<QUANTITY>,28,Tolerance
788,PCT),28,O
789,BITUMINOUS,28,GoodsDescription
790,COAL,28,GoodsDescription
791,IN,28,GoodsDescription
792,BULK,28,Incoterms
793,AT,28,Incoterms
794,THE,28,O
795,RATE,28,O
796,OF,28,O
797,USD,28,UnitPriceAmount
798,<UNITPRICEAMOUNT>,28,UnitPriceAmount
799,PER,28,UnitPriceAmount
800,MT,28,Quantity
801,BASED,28,O
802,ON,28,Incoterms
803,NCV,28,O
804,<QUANTITY>,28,O
805,KCAL/KG,28,O
806,(ARB),28,O
807,AS,28,O
808,PER,28,UnitPriceAmount
809,BENEFICIARY'S,28,O
810,PROFORMA,28,O
811,INVOICE,28,O
812,NO.,28,O
813,PI/GCL/CPBML/18/2019,28,O
814,DATED,28,O
815,<DATE>,28,O
816,CFR,29,Incoterms
817,KARACHI,29,Incoterms
818,PORT,29,Incoterms
819,QTY,29,O
820,<QUANTITY>,29,Quantity
821,M/TONS,29,Quantity
822,METHANOL,29,GoodsDescription
823,(CHEM,29,O
824,GRADE),29,O
825,AT,29,O
826,THE,29,O
827,RATE,29,O
828,OF,29,O
829,USD,29,UnitPriceAmount
830,<UNITPRICEAMOUNT>,29,UnitPriceAmount
831,PER,29,UnitPriceAmount
832,M/TON,29,UnitPriceAmount
833,AS,29,O
834,PER,29,UnitPriceAmount
835,PROFORMA,29,O
836,INVOICE,29,O
837,NO.,29,O
838,CHEM/162380A/SEPTEMBER-2019,29,O
839,DATED,29,O
840,<DATE>,29,O
841,OF,29,O
842,M/S.,29,O
843,SABIC,29,O
844,PAKISTAN,29,O
845,PRIVATE,29,O
846,LIMITED.,29,O
847,KARACHI,29,Incoterms
848,PAKISTAN.,29,O
849,CPT,30,Incoterms
850,KARACHI,30,Incoterms
851,AIRPORT,30,Incoterms
852,SPARE,30,GoodsDescription
853,PARTS,30,GoodsDescription
854,FOR,30,GoodsDescription
855,INNIO,30,GoodsDescription
856,JENBACHER,30,GoodsDescription
857,POWER,30,GoodsDescription
858,GENERATION,30,GoodsDescription
859,AS,30,O
860,PER,30,O
861,BENEFICIARY'S,30,O
862,PROFORMA,30,O
863,INVOICE,30,O
864,NO(S).,30,O
865,PFI-003854,30,O
866,DATED,30,O
867,<DATE>,30,O
868,AND,30,O
869,PFI-003370,30,O
870,DATED,30,O
871,<DATE>,30,O
872,FOB,31,Incoterms
873,ANY,31,Incoterms
874,MALAYSIAN,31,Incoterms
875,PORT,31,Incoterms
876,QTY,31,O
877,<UNITPRICEAMOUNT>,31,Quantity
878,TONS,31,Quantity
879,PALM,31,GoodsDescription
880,BASED,31,GoodsDescription
881,GOLDEN,31,GoodsDescription
882,HARVEST,31,GoodsDescription
883,MARGARINE,31,GoodsDescription
884,WITH,31,GoodsDescription
885,VITAMIN,31,GoodsDescription
886,'A',31,O
887,PHO25,31,O
888,AT,31,O
889,THE,31,O
890,RATE,31,O
891,OF,31,O
892,USD,31,UnitPriceAmount
893,<UNITPRICEAMOUNT>,31,UnitPriceAmount
894,PER,31,UnitPriceAmount
895,TON,31,UnitPriceAmount
896,AS,31,GoodsDescription
897,PER,31,UnitPriceAmount
898,BENEFICIARY'S,31,O
899,PROFORMA,31,O
900,INVOICE,31,O
901,NO.,31,O
902,<INCOTERMS>,31,O
903,DATED,31,O
904,<INCOTERMS>,31,O
905,CPT,32,Incoterms
906,LAHORE,32,Incoterms
907,AIRPORT,32,Incoterms
908,PAKISTAN,32,Incoterms
909,QTY,32,O
910,<QUANTITY>,32,Quantity
911,SET,32,Quantity
912,OF,32,O
913,REFRIGERATED,32,GoodsDescription
914,CENTRIFUGE,32,GoodsDescription
915,MACHINE,32,GoodsDescription
916,WITH,32,GoodsDescription
917,ACCESSORIES,32,GoodsDescription
918,ROTINA,32,O
919,<INCOTERMS>,32,O
920,AT,32,GoodsDescription
921,THE,32,O
922,RATE,32,GoodsDescription
923,EUR,32,UnitPriceAmount
924,<QUANTITY>,32,O
925,PER,32,UnitPriceAmount
926,PC,32,UnitPriceAmount
927,COMPLETE,32,O
928,DETAIL,32,O
929,AS,32,O
930,PER,32,UnitPriceAmount
931,BENEFICIARY'S,32,O
932,PROFORMA,32,O
933,INVOICE,32,O
934,NO.,32,O
935,<QUANTITY>,32,O
936,DATED,32,O
937,12-10-2019.,32,O
938,CFR,33,Incoterms
939,KARACHI,33,Incoterms
940,SEAPORT,33,Incoterms
941,PAKISTAN,33,Incoterms
942,QTY,33,O
943,<QUANTITY>,33,Quantity
944,SET,33,Quantity
945,OF,33,O
946,COMPLETE,33,O
947,CSD,33,O
948,<QUANTITY>,33,O
949,SFC/8.5,33,O
950,BAR,33,O
951,ROTARY,33,GoodsDescription
952,SCREW,33,GoodsDescription
953,COMPRESSOR,33,GoodsDescription
954,AS,33,O
955,PER,33,O
956,BENEFICIARY'S,33,O
957,PROFORMA,33,O
