words,sentence #,tag
200O,4,O
FCA,4,Incoterms
KARACHI,4,Incoterms
PAKISTAN,4,Incoterms
AND/OR,4,GoodsDescription
FOB,4,Incoterms
KARACHI,4,Incoterms
PAKISTAN,4,Incoterms
INCOTERMS,4,O
201,4,O
QUANTITY,5,O
90000,5,Quantity
M(+/-10,5,O
O/O),5,O
DESCRIPTION,5,O
POLIESTER,5,GoodsDescription
SATIN,5,GoodsDescription
FABRIC,5,GoodsDescription
CODE,5,O
42250,5,O
GREY,5,O
A7,5,O
GRADE,5,O
PO,5,GoodsDescription
N07929/10,5,O
CIF,5,Incoterms
INCOTERMS,5,O
2010,5,O
QUANTITY,6,O
90000,6,Quantity
M(+/-10,6,O
O/O),6,O
DESCRIPTION,6,O
POLIESTER,6,GoodsDescription
SATIN,6,GoodsDescription
FABRIC,6,GoodsDescription
CODE,6,O
42250,6,O
GREY,6,O
A7,6,O
GRADE,6,O
PO,6,GoodsDescription
N07929/10,6,O
CIF,6,Incoterms
INCOTERMS,6,O
2010,6,O
TOYS,7,GoodsDescription
AS,7,O
PER,7,O
PROFORMA,7,O
INVOICE,7,O
NO,7,O
TSO1801008,7,O
ACCORDING,7,O
TO,7,GoodsDescription
CONTRACT,7,O
2007/KT/20O,7,O
TOYS,8,GoodsDescription
AS,8,O
PER,8,O
PROFORMA,8,O
INVOICE,8,O
NO,8,O
TSO1801008,8,O
ACCORDING,8,O
TO,8,GoodsDescription
CONTRACT,8,O
2007/KT/20O,8,O
1123,9,Quantity
Boxes,9,Quantity
of,9,O
Tennis,9,GoodsDescription
Sneakers,9,GoodsDescription
marked,9,O
Djoko,9,O
23,9,Quantity
COPPER,10,GoodsDescription
CLAD,10,GoodsDescription
LAMINATE,10,GoodsDescription
AS,10,O
PER,10,GoodsDescription
PROFORMA,10,O
INVOICE,10,O
NK201801012,10,O
DD,10,O
1N0N2018,10,O
DELIVERY,10,O
TERMS,10,O
CFR,10,Incoterms
SOUSSE,10,Incoterms
PORT,10,Incoterms
MULTIPURPOSE,11,GoodsDescription
CLOTH,11,GoodsDescription
38X38CM,11,O
392860,11,O
PINK,11,O
141,11,O
00PCS,11,O
PRICE,11,O
EUR8,11,O
4850,11,O
392880,11,O
YELLOW,11,GoodsDescription
141,11,O
00PCS,11,O
PRICE,11,O
EUR8,11,O
4850,11,O
392890,11,O
GREEN,11,O
141,11,O
00PCS,11,O
PRICE,11,O
EUR8,11,O
4850,11,O
FREIGHT,11,O
COST,11,O
CHARGE,11,O
1X40HC,11,O
EX,11,O
WORKS,11,O
PRICE,11,O
EUR1,11,O
5800,11,O
TOTAL,11,O
AMOUNT,11,O
EUR26,11,O
9850,11,O
ORIGIN,11,O
GERMANY,11,GoodsOrigin
CFR,11,Incoterms
BUSAN,11,Incoterms
PRODUCT,12,O
HYDROUS,12,GoodsDescription
ETHANOL,12,GoodsDescription
QUANTITY,12,O
2,12,Quantity
500000,12,Quantity
METRIC,12,Quantity
TONS,12,Quantity
/5,12,Tolerance
PCT,12,Tolerance
PRICE,12,O
USD,12,UnitPriceAmount
77000/MT,12,UnitPriceAmount
DELIVERY,12,O
TERMS,12,O
FOB,12,Incoterms
KARACHI,12,Incoterms
PAKISTAN,12,GoodsOrigin
COUNTRY,12,O
OF,12,O
ORIGIN,12,O
PAKISTAN,12,GoodsOrigin
LOADPORT,12,O
KARACHI,12,Incoterms
PAKISTAN,12,GoodsOrigin
DISCHARGE,12,O
PORT,12,O
JUBAIL,12,O
000,12,UnitPriceAmount
LATEST,12,O
SHIPMENT,12,O
DATE,12,O
APRIL,12,O
20,12,O
2014,12,O
COMMODITY,13,GoodsDescription
CUMENE,13,GoodsDescription
QUANTITY,13,O
1500MT,13,Quantity
PRICE,13,O
TERM,13,O
USD1,13,UnitPriceAmount
2038/MT,13,UnitPriceAmount
CFR,13,Incoterms
SHANGHAI,13,Incoterms
ORIGIN,13,O
JAPAN,13,GoodsOrigin
PACKING,13,O
IN,13,O
BULK,13,O
FOB,14,Incoterms
DJIBOUTI,14,Incoterms
/,14,UnitPriceAmount
ETHIOPIA,14,Incoterms
PORT,14,Incoterms
QTY,14,O
363,14,Quantity
MT,14,Quantity
(15,14,O
X,14,O
20,14,O
FT,14,O
CONTAINERS,14,O
EACH,14,O
IS,14,O
STUFFED,14,O
WITH,14,O
24MTS),14,O
BOLD,14,GoodsDescription
DESI,14,GoodsDescription
CHICK,14,GoodsDescription
PEAS,14,GoodsDescription
NEW,14,O
CROP,14,O
2018/19,14,O
PURITY,14,O
985,14,O
PERCENT,14,O
SHAWA,14,O
TYPE,14,O
MACHINES,14,O
CLEANED,14,O
TOTAL,14,O
DEFECTS,14,O
MAX,14,O
85,14,O
PCT,14,O
AND,14,O
MAX,14,O
2,14,O
PCT,14,O
BLACK,14,GoodsDescription
PACKED,14,O
IN,14,O
50KG,14,O
PP,14,O
WOOVEN,14,O
BAGS,14,O
AT,14,O
USD,14,UnitPriceAmount
555,14,UnitPriceAmount
PER,14,UnitPriceAmount
M/TO8,14,UnitPriceAmount
AS,14,GoodsDescription
PER,14,UnitPriceAmount
BENEFICIARY,14,O
S,14,UnitPriceAmount
SALES,14,O
CONTRACT,14,O
N8,14,O
1,14,O
FNTTP/007/2019,14,O
DATED,14,O
281819,14,O
GARMENTS,15,GoodsDescription
AND/OR,15,GoodsDescription
ACCESSORIES,15,GoodsDescription
(VESTUARIO,15,O
E/OU,15,O
ACESSORIOS),15,O
INCOTERMS,15,O
2010,15,O
FOB,15,Incoterms
PORT,15,Incoterms
SHANGHAI,15,Incoterms
YANTIAN,15,Incoterms
XIAMEN,15,Incoterms
OR,15,Incoterms
QINGDAO,15,Incoterms
AND,15,GoodsDescription
MUST,15,O
BE,15,O
THE,15,O
SAME,15,O
THAT,15,O
WAS,15,O
INFORMED,15,O
AS,15,O
PER,15,O
PROFORMAS,15,O
19R4038,15,O
19R4170,15,O
TELECOMMUNICATION,16,GoodsDescription
EQUIPMENT,16,GoodsDescription
AS,16,Incoterms
PER,16,O
PROFORMA,16,O
INVOICES,16,O
00123/,16,O
00121/,16,O
00122,16,O
IN,16,GoodsOrigin
CASE,16,O
OF,16,O
SHIPMENT,16,O
BY,16,O
SEA,16,O
VALUE,16,O
FCA,16,Incoterms
ROTTERDAM,16,Incoterms
FULL,16,Incoterms
JAS,16,Incoterms
ROT,16,Incoterms
WAREHOUSE,16,Incoterms
THE,16,Incoterms
NETHERLAND2,16,O
INCOTERMS,16,O
201,16,O
IN,16,GoodsOrigin
CASE,16,O
OF,16,O
SHIPMENT,16,O
BY,16,O
AIR,16,Incoterms
VALUE,16,O
FCA,16,Incoterms
ANY,16,Incoterms
AIRPORT,16,Incoterms
IN,16,GoodsOrigin
AMSTERDAM,16,Incoterms
THE,16,Incoterms
NETHERLANDS,16,Incoterms
INCOTERMS,16,O
201,16,O
GOODS,16,O
ORIGIN,16,O
CHINA,16,GoodsOrigin
(PLUS,17,O
OR,17,Tolerance
MINUS,17,Tolerance
5,17,Quantity
PCT),17,O
500,17,Quantity
MT,17,Quantity
OF,17,O
DEFORMED,17,GoodsDescription
STEEL,17,GoodsDescription
BARS,17,GoodsDescription
ACC,17,O
TO,17,O
QUALITY,17,O
IS,17,Incoterms
446,17,O
3S-S400W,17,O
AT,17,O
USD,17,UnitPriceAmount
46C00,17,UnitPriceAmount
PER,17,UnitPriceAmount
MC,17,UnitPriceAmount
(PLUS,17,O
OR,17,Tolerance
MINUS,17,Tolerance
5,17,Quantity
PCT),17,O
500,17,Quantity
MT,17,Quantity
OF,17,O
HOT,17,GoodsDescription
ROLLED,17,GoodsDescription
MESH,17,GoodsDescription
MAKING,17,GoodsDescription
WIRE,17,GoodsDescription
RODS,17,GoodsDescription
IN,17,GoodsDescription
COILS,17,O
AT,17,O
USD,17,UnitPriceAmount
51C00,17,UnitPriceAmount
PER,17,UnitPriceAmount
MC,17,UnitPriceAmount
ABOVE,17,O
GOODS,17,O
ARE,17,O
AS,17,Incoterms
PER,17,UnitPriceAmount
PROFORMA,17,O
INVOICE,17,O
NCD173,17,O
AND,17,O
W9C,17,O
COMMERCIAL,17,O
TERMS,17,O
CFR,17,Incoterms
LO,17,Incoterms
ASHDOD,17,Incoterms
SEAPORT-ISRAEL,17,Incoterms
INCOTERMS,17,O
202,17,O
.,17,O
/ADD/,18,O
Packed,18,O
in,18,O
wooden,18,O
crates,18,O
DESCRIPTION,19,O
OF,19,O
GOODS,19,O
COMMODITY,19,GoodsDescription
VCM,19,GoodsDescription
QUANTITY,19,O
4,19,Quantity
200MT,19,Quantity
PLUS/MINUS,19,Tolerance
5,19,Tolerance
PERCENT,19,Tolerance
QUALITY,19,O
IN,19,GoodsOrigin
ACCORDANCE,19,O
WITH,19,O
SP,19,O
CHEMICALS,19,O
(TAIXIN),19,O
CO,19,GoodsDescription
LTD,19,O
GUARANTEED,19,O
SPECIFICATIONS,19,O
PRICE,19,O
USD,19,UnitPriceAmount
87O00,19,UnitPriceAmount
PER,19,UnitPriceAmount
MT,19,UnitPriceAmount
DELIVERY,19,O
TERMS,19,O
FOB,19,Incoterms
TAIXING,19,Incoterms
CHINA,19,GoodsOrigin
ORIGIN,19,O
CHINA,19,GoodsOrigin
25,20,Quantity
00,20,Quantity
METRIC,20,Quantity
TONS,20,Quantity
PLUS,20,Tolerance
OR,20,Tolerance
MINUS,20,Tolerance
TEN,20,Tolerance
PCT,20,Tolerance
OF,20,O
RUSSIAN,20,GoodsOrigin
EXPORT,20,GoodsDescription
BLEND,20,GoodsDescription
CRUDE,20,GoodsDescription
OIL,20,GoodsDescription
(REBCO),20,O
IN,20,Tolerance
ACCORDANCE,20,O
WITH,20,O
THE,20,O
CONTRACT,20,O
NO,20,O
4,20,O
116/14,20,O
DO,20,O
0O0O2014,20,O
TERMS,20,O
OF,20,O
DELIVERY,20,O
FOB,20,Incoterms
PRIMORSK,20,Incoterms
AS,20,O
PER,20,O
INCOTERMS,20,O
2000,20,O
THE,20,O
GOODS,20,O
MUST,20,O
BE,20,O
LOADED,20,O
ON,20,Quantity
BOARD,20,O
THE,20,O
VESSEL,20,O
MT,20,O
MONTEGO/SUB,20,O
PRICE,20,O
FINAL,20,O
PRICE,20,O
INDICATED,20,O
IN,20,Tolerance
THE,20,O
INVOICE,20,O
TO,20,Quantity
BE,20,O
CALCULATED,20,O
IN,20,Tolerance
ACCORDANCE,20,O
WITH,20,O
APPENDIX,20,O
2,20,Quantity
TO,20,Quantity
THE,20,O
CONTRACT,20,O
4,20,O
116/14,20,O
DO,20,O
0O0O2014,20,O
(FOB,20,O
PRIMORSK,20,Incoterms
PRICE,20,O
FORMULA),20,O
20,21,Quantity
00,21,UnitPriceAmount
MTS,21,Quantity
MIN,21,O
/,21,O
MAX,21,O
RAW,21,GoodsDescription
CANE,21,GoodsDescription
SUGAR,21,GoodsDescription
OF,21,O
FAIR,21,O
AVERAGE,21,O
QUALITY,21,O
UNIT,21,O
PRICE,21,O
USD,21,UnitPriceAmount
374340000,21,UnitPriceAmount
PER,21,UnitPriceAmount
MT,21,UnitPriceAmount
BASIS,21,O
96,21,O
DEGREES,21,O
POLARISATION,21,O
NET,21,O
SHIPPING,21,O
WEIGHTS,21,O
FOB,21,Incoterms
SANTOS,21,Incoterms
PORT,21,Incoterms
NO,22,O
1,22,O
GUATEMALAN,22,GoodsDescription
CANE,22,GoodsDescription
RAW,22,GoodsDescription
SUGAR,22,GoodsDescription
IN,22,O
BULK,22,O
AVERAGE,22,O
POLARIZATION,22,O
MINIMUM,22,O
9O5,22,O
DEGREES/MAXIMUM,22,O
9O99,22,O
DEGREES,22,O
WET,22,O
BASIS,22,O
AT,22,GoodsDescription
TIME,22,O
OF,22,O
A,22,GoodsOrigin
RRIVAL,22,O
AT,22,GoodsDescription
DESTINATION,22,O
20,22,O
00M/T,22,O
X,22,O
43O34/MT,22,O
USD8,22,O
06,22,O
0O00,22,O
ORIGIN,22,O
AUSTRALIA,22,GoodsOrigin
CFR,22,Incoterms
ULSAN,22,Incoterms
KOREA,22,Incoterms
ELECTROLYTIC,23,GoodsDescription
COPPER,23,GoodsDescription
CATHODESDELIVERY,23,O
TERM,23,O
CIF,23,Incoterms
FO,23,Incoterms
NEMRUT,23,Incoterms
BAY,23,Incoterms
ALIAGA,23,Incoterms
TURKEY,23,Incoterms
INCOTERMS,23,O
201,23,O
QUANTITY,24,O
60,24,Quantity
00METRIC,24,Quantity
TONS,24,Quantity
UP,24,O
TO,24,UnitPriceAmount
10,24,Tolerance
PCT,24,Tolerance
PLUS,24,Tolerance
OR,24,Tolerance
MINUS,24,Tolerance
OF,24,O
FUEL,24,GoodsDescription
OIL,24,GoodsDescription
1PCT,24,O
SULPHUR,24,O
O,24,GoodsDescription
BE,24,O
DELIVERED,24,O
CIF,24,Incoterms
(COST,24,O
NSURANCE,24,O
REIGHT),24,O
ONE,24,O
OR,24,Tolerance
TWO,24,O
SAFE,24,O
PORT(S)/,24,O
ONE,24,O
OR,24,Tolerance
TWO,24,O
SAFE,24,O
BERTH(S),24,O
LEBANON,24,O
FROM,24,O
ANY,24,O
BLACK,24,GoodsDescription
SEA,24,O
AND/OR,24,O
EUROPEAN,24,O
AND/OR,24,O
AMERICAN,24,GoodsOrigin
AND/OR,24,O
ARAB,24,O
COUNTRY,24,O
AND/OR,24,O
ARAB,24,O
GULF,24,O
AND/OR,24,O
INDIA,24,O
AND/OR,24,O
FAR,24,O
EAST,24,O
AND/OR,24,O
TURKISH,24,O
PORT(S)LOADED,24,O
ON,24,UnitPriceAmount
BOARD,24,O
MT,24,O
ARIANE,24,O
OR,24,Tolerance
SUBSTITUT0,24,O
THE,24,O
PRICE,24,O
IN,24,UnitPriceAmount
USD,24,UnitPriceAmount
PER,24,UnitPriceAmount
METRIC,24,UnitPriceAmount
TON,24,UnitPriceAmount
CIF,24,Incoterms
ONE,24,O
OR,24,Tolerance
TWO,24,O
PORT(S)/,24,O
BERTH(S),24,O
LEBANON,24,O
ASED,24,O
ON,24,UnitPriceAmount
B/L,24,O
QUANTITY,24,O
ILL,24,O
BE,24,O
EQUAL,24,O
TO,24,UnitPriceAmount
THE,24,O
AVERAGE,24,O
OF,24,O
THE,24,O
HIGH,24,O
AND,24,UnitPriceAmount
LOW,24,O
QUOTATIONS,24,O
AS,24,O
PUBLISHED,24,O
IN,24,UnitPriceAmount
PLATTS,24,O
EUROPEAN,24,O
MARKETSCAN,24,O
UNDER,24,O
THE,24,O
HEADING,24,O
CIF,24,Incoterms
MED,24,O
BASIS,24,O
GENOVA/LAVERA,24,O
FOR,24,O
FUEL,24,GoodsDescription
00,24,Quantity
PCT,24,Tolerance
PLUS,24,Tolerance
A,24,GoodsDescription
PREMIUM,24,O
AS,24,O
FOLLOWS,24,O
USD,24,UnitPriceAmount
2050,24,UnitPriceAmount
PER,24,UnitPriceAmount
METRIC,24,UnitPriceAmount
TON(US,24,O
DOLLARS,24,UnitPriceAmount
TWENTY,24,UnitPriceAmount
NINE,24,UnitPriceAmount
AND,24,UnitPriceAmount
FIFTY,24,UnitPriceAmount
CENTS,24,UnitPriceAmount
PER,24,UnitPriceAmount
METRIC,24,UnitPriceAmount
TON).,24,O
THE,24,O
QUOTATIONS,24,O
TO,24,UnitPriceAmount
BE,24,O
TAKEN,24,O
INTO,24,O
CONSIDERATION,24,O
WILL,24,O
BE,24,O
ALL,24,O
EFFECTIVE,24,O
AND,24,UnitPriceAmount
VALID,24,O
QUOTATIONS,24,O
APPLICABLE,24,O
FOR,24,O
THE,24,O
MONTH,24,O
IN,24,UnitPriceAmount
WHICH,24,O
THE,24,O
BILL,24,O
OF,24,O
LADING,24,O
OF,24,O
THE,24,O
CARGO(ES),24,O
FALL(S).,24,O
IN,24,UnitPriceAmount
CASE,24,O
OF,24,O
TWO,24,O
PORTS/BERTHS,24,O
DISCHARGE,24,O
IN,24,UnitPriceAmount
LEBANON,24,O
THE,24,O
FINAL,24,O
PRICE,24,O
OF,24,O
THE,24,O
CARGO,24,O
WILL,24,O
BE,24,O
INCREASED,24,O
BY,24,O
USD,24,UnitPriceAmount
000,24,O
PMT,24,O
(US,24,O
DOLLAR,24,UnitPriceAmount
ONE,24,O
PER,24,UnitPriceAmount
METRIC,24,UnitPriceAmount
TON)HE,24,O
FINAL,24,O
UNIT,24,O
PRICE,24,O
IS,24,O
TO,24,UnitPriceAmount
BE,24,O
CALCULATED,24,O
UP,24,O
TO,24,UnitPriceAmount
4,24,O
DECIMAL,24,O
PLACE0IF,24,O
THE,24,O
5TH,24,O
DECIMAL,24,O
DIGIT,24,O
IS,24,O
LESS,24,O
THAN,24,O
5,24,UnitPriceAmount
IT,24,O
IS,24,O
TO,24,UnitPriceAmount
BE,24,O
DISREGARDED,24,O
IF,24,Incoterms
IT,24,O
IS,24,O
GREATER,24,O
THAN,24,O
OR,24,Tolerance
EQUAL,24,O
TO,24,UnitPriceAmount
5,24,UnitPriceAmount
HE,24,O
4TH,24,O
DECIMAL,24,O
DIGIT,24,O
IS,24,O
INCREASED,24,O
BY,24,O
ONE,24,O
220MT,25,Quantity
TOLUENE,25,GoodsDescription
AT,25,O
THE,25,O
RATE,25,O
OF,25,O
USD,25,UnitPriceAmount
115168,25,UnitPriceAmount
PER,25,UnitPriceAmount
MT,25,UnitPriceAmount
CIF,25,Incoterms
KANDLA,25,Incoterms
AS,25,O
PER,25,UnitPriceAmount
CONTRACT,25,O
N11214TS00010,25,O
2,25,Quantity
DATED,25,O
11012014,25,O
ISSUED,25,O
BY,25,O
M/S,25,O
KOLMAR,25,O
GROUP,25,O
AGMETALLI,25,O
AARERSTRASSE,25,O
18,25,O
6300,25,O
UG,25,O
WITZERLAND,25,O
RUSSIAN,26,GoodsOrigin
MILLING,26,GoodsDescription
WHEAT,26,GoodsDescription
IN,26,GoodsDescription
BULK,26,O
QUANTITY,26,O
3000,26,Quantity
MT,26,UnitPriceAmount
UNIT,26,O
PRICE,26,O
USD,26,UnitPriceAmount
288,26,UnitPriceAmount
0/MT,26,UnitPriceAmount
AS,26,O
PER,26,O
PROFORMA,26,O
INVOICE,26,O
NO,26,O
110164,26,O
DATED,26,O
13032014,26,O
CIF,26,Incoterms
ANY,26,Incoterms
PORT,26,Incoterms
IN,26,GoodsDescription
MARMARA,26,Incoterms
REGION,26,Incoterms
TURKEY,26,Incoterms
(AC3,26,O
TO,26,O
INCOTERMS,26,O
201,26,O
EX-BONDED,27,Incoterms
WAREHOUSE,27,Incoterms
KAOHSIUNG,27,Incoterms
PRIMARY,27,GoodsDescription
UNALLOYED,27,GoodsDescription
ALUMINIUM,27,GoodsDescription
INGOTS,27,GoodsDescription
997,27,O
PCT,27,O
AL,27,GoodsDescription
MI9,27,O
99589,27,Quantity
MTS,27,Quantity
USD2,27,UnitPriceAmount
10/MT,27,UnitPriceAmount
200000,28,Quantity
WMT,28,Quantity
(PLUS,28,O
OR,28,Tolerance
MINUS,28,Tolerance
10,28,Tolerance
PCT),28,O
OF,28,O
LEAD,28,GoodsDescription
CONCENTRATES,28,GoodsDescription
AS,28,O
PER,28,O
BENEFICIARY,28,O
S,28,Tolerance
SALES,28,O
CONTRACT,28,O
N0,28,O
RMS,28,O
1,28,Tolerance
2831/00,28,O
DATED,28,O
3,28,O
DEC-2010,28,O
INCOTERMS,28,O
2010DAT,28,O
MUNDRA,28,Incoterms
PORT,28,Incoterms
INDIA),28,O
PRODUCT,29,O
HYDROUS,29,GoodsDescription
ETHANOL,29,GoodsDescription
QUANTITY,29,O
2,29,Quantity
500000,29,Quantity
METRIC,29,Quantity
TONS,29,Quantity
/,29,UnitPriceAmount
-5,29,Tolerance
PCT,29,Tolerance
PRICE,29,O
USD,29,UnitPriceAmount
77000/MTDELIVERY,29,O
TERMS,29,O
FOB,29,Incoterms
KARACHI,29,Incoterms
PAKISTANCOUNTRY,29,O
OF,29,O
ORIGIN,29,O
PAKISTAN,29,GoodsOrigin
LOADPORT,29,O
KARACHI,29,Incoterms
PAKISTANDISCHARGE,29,O
PORT,29,O
JUBAIL,29,O
000,29,Quantity
LATEST,29,O
SHIPMENT,29,O
DATE,29,O
APRIL,29,O
20,29,O
2014,29,O
DESCRIPTION,30,O
OF,30,O
GOODS,30,O
COMMODITY,30,GoodsDescription
VCM,30,GoodsDescription
QUANTITY,30,O
4,30,Quantity
200MT,30,Quantity
PLUS/MINUS,30,Tolerance
5,30,Tolerance
PERCENT,30,Tolerance
QUALITY,30,O
IN,30,Tolerance
ACCORDANCE,30,O
WITH,30,O
SP,30,O
CHEMICALS,30,O
(TAIXIN),30,O
CO,30,GoodsDescription
LTD,30,O
GUARANTEED,30,O
SPECIFICATIONS,30,O
PRICE,30,O
USD,30,UnitPriceAmount
87O00,30,UnitPriceAmount
PER,30,Tolerance
MT,30,UnitPriceAmount
DELIVERY,30,O
TERMS,30,O
FOB,30,Incoterms
TAIXING,30,Incoterms
CHINA,30,Incoterms
ORIGIN,30,O
CHINA,30,Incoterms
DDS,31,O
MOBILE,31,GoodsDescription
CHARGNING,31,GoodsDescription
MACHINE,31,GoodsDescription
SPARE,31,GoodsDescription
PARTS,31,GoodsDescription
QUANTITY,31,O
67,31,Quantity
PCS,31,Quantity
TOTAL,31,O
AMOUNT,31,O
EUR,31,O
65537,31,O
5,31,O
AS,31,O
PER,31,O
PROFORMA,31,O
INVOICE,31,O
NO,31,O
10000103,31,O
DATED,31,O
04/12/2020,31,O
EXW,31,Incoterms
ANY,31,Incoterms
PLACE,31,Incoterms
IN,31,GoodsDescription
GERMANY,31,Incoterms
INCOTERMS,31,O
202,31,O
+,32,Tolerance
COMMODITY,32,O
MAKROLON,32,O
2807,32,O
010131,32,O
(POLYCARBONATE,32,O
RESIN,32,GoodsDescription
WHITE),32,O
+,32,Tolerance
TOTAL,32,O
QUANTITY,32,O
45,32,Quantity
00,32,Quantity
KGS,32,Quantity
(+/-5PCT),32,O
+,32,Tolerance
UNIT,32,O
PRICE,32,O
USE223/KG,32,UnitPriceAmount
+,32,Tolerance
TOTAL,32,O
AMOUNT,32,O
USD,32,O
100,32,O
5200(+/-5PCT),32,O
CIF,32,Incoterms
HAIPHONG,32,Incoterms
PORT,32,Incoterms
VIETNAM,32,Incoterms
INCOTERMS,32,O
2010,32,O
+,32,Tolerance
ORIGIN,32,O
THAILAND,32,GoodsOrigin
OR,32,Incoterms
CHINA,32,GoodsOrigin
+,32,Tolerance
PACKING,32,O
25KGS/PE-BAG-1,32,O
500KGS/PALLET,32,O
+,32,Tolerance
MARKING,32,O
AS,32,O
PER,32,O
EXPORT,32,O
STANDAR2,32,O
(DETAILS,32,O
AS,32,O
PER,32,O
CONTRACT,32,O
N2,32,O
PCS/XLT/1461,32,O
TH,32,GoodsOrigin
DATED,32,O
NOV,32,O
25TH,32,O
201,32,O
3450,33,Quantity
Wooden,33,Quantity
Crates,33,Quantity
filled,33,O
with,33,O
Blue,33,GoodsDescription
Cheese,33,GoodsDescription
Bottles,33,GoodsDescription
as,33,O
per,33,O
Letter,33,O
of,33,O
Credit,33,O
No56,33,O
112,33,O
of,33,O
the,33,O
Apple,33,O
Bank,33,O
Pear,33,O
City,33,O
Branch,33,O
Fruitania,33,O
issued,33,O
on,33,O
1,33,O
0,33,Quantity
2014,33,O
PLAQUES,34,GoodsDescription
GRANITS,34,GoodsDescription
AS,34,O
PER,34,O
PROFORMA,34,O
INVOICE,34,O
NUMBER,34,O
C-396,34,O
DATED,34,O
23/11/202S,34,O
SALES,34,O
CONDITIONS,34,O
EXW,34,Incoterms
SANKARI,34,Incoterms
INDIS,34,Incoterms
GARMENTS,35,GoodsDescription
AND/OR,35,GoodsDescription
ACCESSORIES,35,GoodsDescription
(VESTUARIO,35,O
E/OU,35,O
ACESSORIOS),35,O
INCOTERMS,35,O
2010,35,O
FOB,35,Incoterms
PORT,35,Incoterms
SHANGHAI,35,Incoterms
YANTIAN,35,Incoterms
XIAMEN,35,Incoterms
OR,35,GoodsDescription
QINGDAO,35,Incoterms
AND,35,GoodsDescription
MUST,35,O
BE,35,Incoterms
THE,35,O
SAME,35,O
THAT,35,O
WAS,35,O
INFORMED,35,O
AS,35,O
PER,35,GoodsDescription
PROFORMAS,35,O
19R4038,35,O
19R4170,35,O
SUPERMARKET,35,GoodsDescription
EQUIPMENTS,35,GoodsDescription
ALL,35,O
OTHER,35,O
DETAILS,35,O
ARE,35,O
AS,35,O
PER,35,GoodsDescription
PROFORMA,35,O
INVOICE,35,O
NOS,35,O
956934/OS,35,O
DATED,35,O
1,35,O
OCT-2021,35,O
AND,35,GoodsDescription
APPLICANT,35,O
S,35,GoodsDescription
SS,35,GoodsDescription
NOS,35,O
141613456,35,O
AND,35,GoodsDescription
141613462,35,O
DATED,35,O
2,35,O
OCT-2021,35,O
AND,35,GoodsDescription
3,35,O
OCT-2021,35,O
RESPECTIVELS,35,O
INCOTERMS,35,O
EX-WORKSTREVIOLO,35,Incoterms
BERGAMO,35,Incoterms
ITALY,35,Incoterms
SUPERMARKET,36,GoodsDescription
EQUIPMENTS,36,GoodsDescription
ALL,36,O
OTHER,36,O
DETAILS,36,O
ARE,36,O
AS,36,O
PER,36,GoodsDescription
PROFORMA,36,O
INVOICE,36,O
NOS,36,O
956934/OS,36,O
DATED,36,O
1,36,O
OCT-2021,36,O
AND,36,O
APPLICANT,36,O
S,36,Incoterms
SS,36,O
NOS,36,O
141613456,36,O
AND,36,O
141613462,36,O
DATED,36,O
2,36,O
OCT-2021,36,O
AND,36,O
3,36,O
OCT-2021,36,O
RESPECTIVELS,36,O
INCOTERMS,36,O
